direct_pair_multiplier,err_direct,err_parrot,err_rollout,horizon,kaplan_yorke_dim,lyap_max,lyap_time,n_pairs_direct,n_pairs_rollout,params_direct,params_rollout,seed,system
1,0.034933220595121384,0.02065703474962441,0.0008298727334477007,2,2.118235268907861,0.6963711539102683,0.02073654022113997,16000,16000,19859,19868,2,Halvorsen
1,0.046623799949884415,0.02182877509065727,0.0016089534619823098,4,2.118235268907861,0.6963711539102683,0.04147308044227994,16000,16000,19859,19868,2,Halvorsen
1,0.06838468462228775,0.024823905545841178,0.0030270330607891083,8,2.118235268907861,0.6963711539102683,0.08294616088455987,16000,16000,19859,19868,2,Halvorsen
1,0.1059630960226059,0.031777709229508594,0.005482183303683996,16,2.118235268907861,0.6963711539102683,0.16589232176911975,16000,16000,19859,19868,2,Halvorsen
1,0.17812006175518036,0.05052937364602541,0.009971448220312595,32,2.118235268907861,0.6963711539102683,0.3317846435382395,16000,16000,19859,19868,2,Halvorsen
1,0.4423823356628418,0.10959615605101128,0.020561059936881065,64,2.118235268907861,0.6963711539102683,0.663569287076479,16000,16000,19859,19868,2,Halvorsen
1,0.6703813076019287,0.2239250648052183,0.0624346025288105,128,2.118235268907861,0.6963711539102683,1.327138574152958,16000,16000,19859,19868,2,Halvorsen
1,0.9714134335517883,0.5517138981147672,0.24504245817661285,256,2.118235268907861,0.6963711539102683,2.654277148305916,16000,16000,19859,19868,2,Halvorsen
1,0.9804763793945312,1.1194541424568323,1.0196101665496826,512,2.118235268907861,0.6963711539102683,5.308554296611832,16000,16000,19859,19868,2,Halvorsen
4,0.027488427236676216,0.020317635239111887,0.0004199897521175444,1,2.118235268907861,0.6963711539102683,0.010368270110569984,64000,16000,19859,19868,2,Halvorsen
4,0.02767162397503853,0.02065703474962441,0.0008298727334477007,2,2.118235268907861,0.6963711539102683,0.02073654022113997,64000,16000,19859,19868,2,Halvorsen
4,0.03583380579948425,0.02182877509065727,0.0016089534619823098,4,2.118235268907861,0.6963711539102683,0.04147308044227994,64000,16000,19859,19868,2,Halvorsen
4,0.04672474041581154,0.024823905545841178,0.0030270330607891083,8,2.118235268907861,0.6963711539102683,0.08294616088455987,64000,16000,19859,19868,2,Halvorsen
4,0.07554519176483154,0.031777709229508594,0.005482183303683996,16,2.118235268907861,0.6963711539102683,0.16589232176911975,64000,16000,19859,19868,2,Halvorsen
4,0.13115064799785614,0.05052937364602541,0.009971448220312595,32,2.118235268907861,0.6963711539102683,0.3317846435382395,64000,16000,19859,19868,2,Halvorsen
4,0.2904137074947357,0.10959615605101128,0.020561059936881065,64,2.118235268907861,0.6963711539102683,0.663569287076479,64000,16000,19859,19868,2,Halvorsen
4,0.5638116598129272,0.2239250648052183,0.0624346025288105,128,2.118235268907861,0.6963711539102683,1.327138574152958,64000,16000,19859,19868,2,Halvorsen
4,0.9048597812652588,0.5517138981147672,0.24504245817661285,256,2.118235268907861,0.6963711539102683,2.654277148305916,64000,16000,19859,19868,2,Halvorsen
4,0.9550675749778748,1.1194541424568323,1.0196101665496826,512,2.118235268907861,0.6963711539102683,5.308554296611832,64000,16000,19859,19868,2,Halvorsen
1,0.028220007196068764,0.02197975778819844,0.0003253260219935328,1,2.3501297618370773,0.13489555530106362,0.0034852964623135804,16000,16000,19859,19868,0,Aizawa
1,0.020912544801831245,0.022009212698713556,0.0006449095671996474,2,2.3501297618370773,0.13489555530106362,0.006970592924627161,16000,16000,19859,19868,0,Aizawa
1,0.0271143838763237,0.022087322592228245,0.0012635880848392844,4,2.3501297618370773,0.13489555530106362,0.013941185849254321,16000,16000,19859,19868,0,Aizawa
1,0.034986816346645355,0.02230179238914305,0.002424269914627075,8,2.3501297618370773,0.13489555530106362,0.027882371698508643,16000,16000,19859,19868,0,Aizawa
1,0.04373108595609665,0.022842723546243084,0.004507122095674276,16,2.3501297618370773,0.13489555530106362,0.055764743397017286,16000,16000,19859,19868,0,Aizawa
1,0.08845983445644379,0.024350908561661735,0.008246591314673424,32,2.3501297618370773,0.13489555530106362,0.11152948679403457,16000,16000,19859,19868,0,Aizawa
1,0.1405419409275055,0.030713176812762574,0.014598285779356956,64,2.3501297618370773,0.13489555530106362,0.22305897358806914,16000,16000,19859,19868,0,Aizawa
1,0.3644140958786011,0.040451736271236584,0.024162910878658295,128,2.3501297618370773,0.13489555530106362,0.4461179471761383,16000,16000,19859,19868,0,Aizawa
1,0.8437033891677856,0.057696217728622066,0.039191361516714096,256,2.3501297618370773,0.13489555530106362,0.8922358943522766,16000,16000,19859,19868,0,Aizawa
1,0.9779086112976074,0.08181202298789078,0.11156218498945236,512,2.3501297618370773,0.13489555530106362,1.7844717887045531,16000,16000,19859,19868,0,Aizawa
4,0.018129844218492508,0.02197975778819844,0.0003253260219935328,1,2.3501297618370773,0.13489555530106362,0.0034852964623135804,64000,16000,19859,19868,0,Aizawa
4,0.017975296825170517,0.022009212698713556,0.0006449095671996474,2,2.3501297618370773,0.13489555530106362,0.006970592924627161,64000,16000,19859,19868,0,Aizawa
4,0.02202567085623741,0.022087322592228245,0.0012635880848392844,4,2.3501297618370773,0.13489555530106362,0.013941185849254321,64000,16000,19859,19868,0,Aizawa
4,0.025136491283774376,0.02230179238914305,0.002424269914627075,8,2.3501297618370773,0.13489555530106362,0.027882371698508643,64000,16000,19859,19868,0,Aizawa
4,0.03310132026672363,0.022842723546243084,0.004507122095674276,16,2.3501297618370773,0.13489555530106362,0.055764743397017286,64000,16000,19859,19868,0,Aizawa
