budget,family,final_train_loss,knob,lyap,n_params,rel_error,seed,wall_s
1600,HenonMap,4.345858496890287e-06,1.06,nan,1593,0.0010752224891664728,1,13.09
1600,HenonMap,1.2916530213260558e-06,1.06,nan,1593,0.0005863121164021922,2,13.5
1600,HenonMap,2.369340138102416e-06,1.06,nan,1593,0.0007938754018926638,3,13.26
1600,HenonMap,2.894978031690698e-06,1.06,nan,1593,0.0008774209145761368,4,13.79
3200,HenonMap,1.957337149178784e-06,1.06,nan,3242,0.0007217868828630628,0,14.38
3200,HenonMap,1.7810579447541385e-06,1.06,nan,3242,0.000688785558461176,1,14.07
3200,HenonMap,1.2948507574037648e-06,1.06,nan,3242,0.0005870677538396932,2,14.54
3200,HenonMap,2.2862022087792866e-06,1.06,nan,3242,0.0007799999247573604,3,14.23
3200,HenonMap,3.5545411319617414e-06,1.06,nan,3242,0.0009727384946843356,4,14.46
6400,HenonMap,1.9179953533239313e-06,1.06,nan,6393,0.0007148626945660511,0,15.91
6400,HenonMap,2.05572884533467e-06,1.06,nan,6393,0.0007398652222608389,1,16.04
6400,HenonMap,6.614779772462498e-07,1.06,nan,6393,0.0004198074700036472,2,16.43
6400,HenonMap,1.2171361913715373e-06,1.06,nan,6393,0.0005694682905994446,3,16.03
6400,HenonMap,1.395294382746215e-06,1.06,nan,6393,0.0006097166714726624,4,16.06
12800,HenonMap,1.7693805202725343e-06,1.06,nan,12762,0.0006864155801520798,0,18.63
12800,HenonMap,1.3983547673888097e-06,1.06,nan,12762,0.0006104658935165417,1,18.89
12800,HenonMap,8.037739603423688e-07,1.06,nan,12762,0.0004629002085722585,2,18.79
12800,HenonMap,1.4086301316638128e-06,1.06,nan,12762,0.0006124661173166267,3,18.62
12800,HenonMap,1.5905701011433848e-06,1.06,nan,12762,0.0006504561597211533,4,18.71
25600,HenonMap,1.141858650953509e-06,1.06,nan,25593,0.0005516589780351262,0,22.94
25600,HenonMap,1.080789653769898e-06,1.06,nan,25593,0.0005362062134231635,1,22.62
25600,HenonMap,8.20111646589794e-07,1.06,nan,25593,0.0004673015283383517,2,23.69
25600,HenonMap,1.077573339898663e-06,1.06,nan,25593,0.0005356736757956237,3,23.48
25600,HenonMap,5.218266624069656e-07,1.06,nan,25593,0.00037285386361384735,4,23.43
51200,HenonMap,4.948882951794076e-07,1.06,nan,51069,0.0003625736450124097,0,30.99
51200,HenonMap,6.685162018129631e-07,1.06,nan,51069,0.00042157152337872884,1,30.55
51200,HenonMap,7.595605093229096e-07,1.06,nan,51069,0.00044988133637780865,2,31.21
51200,HenonMap,7.061800906740246e-07,1.06,nan,51069,0.00043317939869660726,3,31.43
51200,HenonMap,5.12802398588974e-07,1.06,nan,51069,0.0003690706700210396,4,30.32
200,HenonMap,4.3175940605578945e-05,1.18,nan,189,0.0035960796810253466,0,12.41
200,HenonMap,6.321993010351434e-05,1.18,nan,189,0.004408857640886948,1,12.18
200,HenonMap,9.174779790919274e-05,1.18,nan,189,0.005278439733598446,2,12.03
200,HenonMap,6.60437474725768e-05,1.18,nan,189,0.004486501004240633,3,12.57
200,HenonMap,9.349949547322467e-05,1.18,nan,189,0.00530094797031895,4,12.36
400,HenonMap,2.9841985800885595e-05,1.18,nan,393,0.0030030744491142875,0,12.56
400,HenonMap,2.7923220186494292e-05,1.18,nan,393,0.0028883557239961872,1,12.3
400,HenonMap,4.115607077255845e-05,1.18,nan,393,0.003552651838176798,2,12.41
400,HenonMap,2.3059296217979864e-05,1.18,nan,393,0.0026280974113663262,3,13.75
400,HenonMap,4.1702188493218275e-05,1.18,nan,393,0.0035642504234981508,4,12.56
800,HenonMap,1.5932746144244446e-05,1.18,nan,777,0.0021922413241989938,0,12.61
800,HenonMap,1.2497722942498513e-05,1.18,nan,777,0.0019536660585472636,1,12.83
800,HenonMap,2.9186794214183465e-05,1.18,nan,777,0.0029697402537081463,2,13.96
800,HenonMap,1.5778737688378895e-05,1.18,nan,777,0.0021771794425346556,3,12.97
800,HenonMap,1.2629729055333882e-05,1.18,nan,777,0.0019601426753177503,4,12.89
1600,HenonMap,8.73106009385083e-06,1.18,nan,1593,0.0016185531615647228,0,14.85
1600,HenonMap,5.178153420274611e-06,1.18,nan,1593,0.00123420764311765,1,15.64
1600,HenonMap,5.7789931088336744e-06,1.18,nan,1593,0.0013220726170107748,2,13.84
1600,HenonMap,8.142755981680238e-06,1.18,nan,1593,0.0015650843619607793,3,13.36
1600,HenonMap,6.767164853954455e-06,1.18,nan,1593,0.0014178159330453573,4,13.49
3200,HenonMap,3.5256391165603417e-06,1.18,nan,3242,0.001018855064179819,0,14.31
3200,HenonMap,4.190677529550158e-06,1.18,nan,3242,0.0011235531178191227,1,15.02
3200,HenonMap,3.8257859650912e-06,1.18,nan,3242,0.0010701740072054215,2,14.27
